name,amount
BUJUMBA COUNTY,26
KYAMUSWA COUNTY,3863
KYAMUSWA COUNTY,3471
KYAMUSWA COUNTY,1099
KYAMUSWA COUNTY,549
BULAMOGI COUNTY,18289
BULAMOGI COUNTY,12690
BULAMOGI COUNTY,11322
BULAMOGI COUNTY,5213
BULAMOGI COUNTY,1056
BULAMOGI COUNTY,294
BULAMOGI NORTH WEST COUNTY,10875
BULAMOGI NORTH WEST COUNTY,9057
BULAMOGI NORTH WEST COUNTY,158
BULAMOGI NORTH WEST COUNTY,113
KALUNGU EAST COUNTY,12198
KALUNGU EAST COUNTY,10865
KALUNGU EAST COUNTY,6427
KALUNGU EAST COUNTY,2304
KALUNGU WEST COUNTY,13696
KALUNGU WEST COUNTY,7016
KALUNGU WEST COUNTY,2253
KALUNGU WEST COUNTY,479
KALUNGU WEST COUNTY,384
KALUNGU WEST COUNTY,187
KAMPALA CENTRAL DIVISION,16998
KAMPALA CENTRAL DIVISION,15975
KAMPALA CENTRAL DIVISION,10749
KAMPALA CENTRAL DIVISION,1679
KAMPALA CENTRAL DIVISION,1653
KAWEMPE DIVISION NORTH,41197
KAWEMPE DIVISION NORTH,7512
KAWEMPE DIVISION NORTH,6946
KAWEMPE DIVISION NORTH,3919
KAWEMPE DIVISION NORTH,2247
KAWEMPE DIVISION NORTH,1825
KAWEMPE DIVISION NORTH,1050
KAWEMPE DIVISION NORTH,582
KAWEMPE DIVISION NORTH,490
KAWEMPE DIVISION NORTH,170
KAWEMPE DIVISION SOUTH,26855
KAWEMPE DIVISION SOUTH,6818
KAWEMPE DIVISION SOUTH,3788
KAWEMPE DIVISION SOUTH,1250
KAWEMPE DIVISION SOUTH,803
KAWEMPE DIVISION SOUTH,464
KAWEMPE DIVISION SOUTH,240
KAWEMPE DIVISION SOUTH,223
KAWEMPE DIVISION SOUTH,77
KAWEMPE DIVISION SOUTH,68
MAKINDYE DIVISION EAST,20455
MAKINDYE DIVISION EAST,14815
MAKINDYE DIVISION EAST,9117
MAKINDYE DIVISION EAST,4352
MAKINDYE DIVISION EAST,592
MAKINDYE DIVISION EAST,528
MAKINDYE DIVISION EAST,484
MAKINDYE DIVISION EAST,457
MAKINDYE DIVISION EAST,280
MAKINDYE DIVISION WEST,18116
MAKINDYE DIVISION WEST,4358
MAKINDYE DIVISION WEST,4270
MAKINDYE DIVISION WEST,501
MAKINDYE DIVISION WEST,286
MAKINDYE DIVISION WEST,194
MAKINDYE DIVISION WEST,100
NAKAWA DIVISION EAST,31263
NAKAWA DIVISION EAST,11720
NAKAWA DIVISION EAST,7467
NAKAWA DIVISION EAST,1274
NAKAWA DIVISION EAST,438
NAKAWA DIVISION EAST,127
NAKAWA DIVISION EAST,126
NAKAWA DIVISION WEST,31653
NAKAWA DIVISION WEST,9450
NAKAWA DIVISION WEST,2780
NAKAWA DIVISION WEST,1512
NAKAWA DIVISION WEST,931
NAKAWA DIVISION WEST,806
NAKAWA DIVISION WEST,668
NAKAWA DIVISION WEST,479
NAKAWA DIVISION WEST,300
NAKAWA DIVISION WEST,280
NAKAWA DIVISION WEST,238
NAKAWA DIVISION WEST,196
NAKAWA DIVISION WEST,194
NAKAWA DIVISION WEST,161
RUBAGA DIVISION NORTH,39847
RUBAGA DIVISION NORTH,14003
RUBAGA DIVISION NORTH,8032
RUBAGA DIVISION NORTH,500
RUBAGA DIVISION NORTH,346
RUBAGA DIVISION NORTH,189
RUBAGA DIVISION NORTH,87
RUBAGA DIVISION SOUTH,49501
RUBAGA DIVISION SOUTH,12893
RUBAGA DIVISION SOUTH,5069
RUBAGA DIVISION SOUTH,3146
RUBAGA DIVISION SOUTH,2799
RUBAGA DIVISION SOUTH,2050
RUBAGA DIVISION SOUTH,1521
RUBAGA DIVISION SOUTH,931
RUBAGA DIVISION SOUTH,719
RUBAGA DIVISION SOUTH,629
RUBAGA DIVISION SOUTH,376
RUBAGA DIVISION SOUTH,292
RUBAGA DIVISION SOUTH,145
RUBAGA DIVISION SOUTH,111
BUGABULA COUNTY NORTH,11181
BUGABULA COUNTY NORTH,11013
BUGABULA COUNTY NORTH,4205
BUGABULA COUNTY NORTH,803
BUGABULA COUNTY NORTH,695
BUGABULA COUNTY NORTH,225
BUGABULA COUNTY NORTH,183
BUGABULA COUNTY NORTH,71
BUGABULA COUNTY SOUTH,20245
BUGABULA COUNTY SOUTH,7270
BUGABULA COUNTY SOUTH,5970
BUGABULA COUNTY SOUTH,2993
BUGABULA COUNTY SOUTH,1305
BUGABULA COUNTY SOUTH,431
BUGABULA COUNTY SOUTH,415
BUGABULA COUNTY SOUTH,323
BUGABULA COUNTY SOUTH,283
BUGABULA COUNTY SOUTH,262
BUGABULA COUNTY SOUTH,156
BUZAAYA COUNTY,19765
BUZAAYA COUNTY,7539
BUZAAYA COUNTY,6934
BUZAAYA COUNTY,2912
BUZAAYA COUNTY,2627
BUZAAYA COUNTY,1177
BUZAAYA COUNTY,921
BUZAAYA COUNTY,785
BUZAAYA COUNTY,213
BUZAAYA COUNTY,104
BUZAAYA COUNTY,64
KAMULI MUNICIPALITY,5911
KAMULI MUNICIPALITY,5359
KAMULI MUNICIPALITY,5185
KAMULI MUNICIPALITY,1261
KAMULI MUNICIPALITY,104
KIBALE COUNTY,
KIBALE EAST COUNTY,
